category,lat,lon,name,address,city,zip,website,phone,tract_geoid,source_file
Schools,32.620342065792485,-116.97695752476423,Pacific Springs Charter,1615 Mater Dei Drive,Chula Vista,91913-3953,,,06073013318,Schools.geojson
Schools,32.63484656195389,-117.08762134681015,Davila Day,540 G Street,Chula Vista,91910-3604,,,06073012700,Schools.geojson
Schools,32.63484656195389,-117.08762134681015,Vista Square Elementary,540 G Street,Chula Vista,91910-3604,,,06073012700,Schools.geojson
Schools,32.70368143521166,-117.09117373077447,Lincoln High,4777 Imperial Avenue,San Diego,92113-2071,,,06073003305,Schools.geojson
Schools,32.70368143521166,-117.09117373077447,San Diego Adult,4777 Imperial Avenue Room 407,San Diego,92113,,,06073003305,Schools.geojson
Schools,32.70982334446392,-117.12687859625959,King-Chavez Arts and Athletics Academy,415 31st Street,San Diego,92102-4236,,,06073004000,Schools.geojson
Schools,32.70982334446392,-117.12687859625959,King-Chavez Primary Academy,415 31st Street,San Diego,92102-4236,,,06073004000,Schools.geojson
Schools,32.723706145631105,-117.09176211585874,Webster Elementary,4801 Elm Street,San Diego,92102-1354,,,06073003401,Schools.geojson
Schools,32.723706145631105,-117.09176211585874,Holly Drive Leadership Academy,4801 Elm Street,San Diego,92102-1354,,,06073003401,Schools.geojson
Schools,32.72844997410752,-116.92582379388172,Steele Canyon High,12440 Campo Road,Spring Valley,91978-2331,,,06073021305,Schools.geojson
Schools,32.72844997410752,-116.92582379388172,Steele Canyon Adult Center,12440 Campo Road,Spring Valley,91978-2331,,,06073021305,Schools.geojson
Schools,32.7328240284737,-116.49359868252351,Mountain Empire Junior High,3305 Buckman Springs Road,Pine Valley,91962-4005,,,06073021101,Schools.geojson
Schools,32.7328240284737,-116.49359868252351,Mountain Empire High,3305 Buckman Springs Road,Pine Valley,91962-4005,,,06073021101,Schools.geojson
Schools,32.73481906794637,-117.21953111050314,High Tech Middle Media Arts,"2230 Truxtun Road, 2nd Floor",San Diego,92106-6125,,,06073021401,Schools.geojson
Schools,32.73481906794637,-117.21953111050314,High Tech High Media Arts,2230 Truxtun Road Third Floor,San Diego,92106-6039,,,06073021401,Schools.geojson
Schools,32.73481906794637,-117.21953111050314,High Tech Elementary Explorer,2230 Truxtun Road 1st Floor,San Diego,92106-6128,,,06073021401,Schools.geojson
Schools,32.73997977451422,-116.91140135510356,Jamacha Elementary,2962 Jamul Drive,El Cajon,92019-4640,,,06073021305,Schools.geojson
Schools,32.73997977451422,-116.91140135510356,Cajon Valley Home,2962 Jamul Drive,El Cajon,92019-4640,,,06073021305,Schools.geojson
Schools,32.771159502758536,-117.1799900915927,San Diego County Community,"6401 Linda Vista Road, Room 216",San Diego,92111-7399,,,06073008901,Schools.geojson
Schools,32.771159502758536,-117.1799900915927,San Diego County ROP,6401 Linda Vista Road,San Diego,92111-7319,,,06073008901,Schools.geojson
Schools,32.77198150234286,-117.17955619374206,Empower Language Academy,6402 Linda Vista Road,San Diego,92111-6013,,,06073009000,Schools.geojson
Schools,32.77198150234286,-117.17955619374206,Twain High,6402 Linda Vista Road,San Diego,92111-7320,,,06073009000,Schools.geojson
Schools,32.78494220377199,-116.97036606008969,EJE Elementary Academy Charter,851 South Johnson Avenue,El Cajon,92020-5811,,,06073015902,Schools.geojson
Schools,32.78494220377199,-116.97036606008969,EJE Middle Academy,851 South Johnson Avenue,El Cajon,92020-5811,,,06073015902,Schools.geojson
Schools,32.793382138346296,-116.9353810162289,REACH Academy,230 Jamacha Road,El Cajon,92019-2359,,,06073015704,Schools.geojson
Schools,32.793382138346296,-116.9353810162289,Elite Academy,230 Jamacha Boulevard,El Cajon,92019-2359,,,06073015704,Schools.geojson
Schools,32.79692585314662,-116.92521241739506,Foothills Adult Education Center,1550 Melody Lane,El Cajon,92019-2015,,,06073015602,Schools.geojson
Schools,32.79692585314662,-116.92521241739506,Grossmont Adult,1550 Melody Lane,El Cajon,92019,,,06073015602,Schools.geojson
Schools,32.800146383484055,-117.16017194342344,Kearny Digital Media & Design,1954 Komet Way,San Diego,92111-5731,,,06073008701,Schools.geojson
Schools,32.800146383484055,-117.16017194342344,Kearny School of Biomedical Science and Technology,1954 Komet Way,San Diego,92111-5731,,,06073008701,Schools.geojson
Schools,32.800146383484055,-117.16017194342344,Kearny College Connections,1954 Komet Way,San Diego,92111-5731,,,06073008701,Schools.geojson
Schools,32.800146383484055,-117.16017194342344,Kearny Eng Innov & Design,1954 Komet Way,San Diego,92111-5731,,,06073008701,Schools.geojson
Schools,32.80067107417489,-116.9040674791873,Christian Elementary East,2100 Greenfield Drive,El Cajon,92019,,,06073015602,Schools.geojson
Schools,32.80067107417489,-116.9040674791873,Christian Junior/Senior High School,2100 Greenfield Drive,El Cajon,92019,,,06073015602,Schools.geojson
Schools,32.81641525709108,-117.18178871921823,High Tech High Mesa,5331 Mount Alifan Drive,San Diego,92111-2622,,,06073008513,Schools.geojson
Schools,32.81641525709108,-117.18178871921823,High Tech Middle Mesa,5331 Mount Alifan Drive Building 400,San Diego,92111-2622,,,06073008513,Schools.geojson
Schools,32.81641525709108,-117.18178871921823,High Tech Elementary Mesa,5331 Mount Alifan Drive Building 200,San Diego,92111-2622,,,06073008513,Schools.geojson
Schools,32.81728808479742,-116.98018351857891,MERIT Academy,1600 North Cuyamaca Street,El Cajon,92020-1109,,,06073016201,Schools.geojson
Schools,32.81728808479742,-116.98018351857891,IDEA Center,1600 North Cuyamaca Street,El Cajon,92020-1187,,,06073016201,Schools.geojson
Schools,32.81728808479742,-116.98018351857891,Chaparral High,1600 North Cuyamaca Street,El Cajon,92020-1187,,,06073016201,Schools.geojson
Schools,32.82042016850389,-116.52596577606133,Sunrise High (Continuation),7454 Pine Boulevard,Pine Valley,91962-4005,,,06073020902,Schools.geojson
Schools,32.82042016850389,-116.52596577606133,Hillside Junior/Senior High,7454 Pine Boulevard,Pine Valley,91962-4005,,,06073020902,Schools.geojson
Schools,32.833364284841416,-116.8150948013408,Shadow Hills Elementary,8770 Harbison Canyon Road,Alpine,91901-2615,,,06073015502,Schools.geojson
Schools,32.833364284841416,-116.8150948013408,Mountain View Learning Academy,8770 Harbison Canyon Road,Alpine,91901-2615,,,06073015502,Schools.geojson
Schools,32.902791766716,-117.18431933129108,Charter School of San Diego,10170 Huennekens Street,San Diego,92121-2964,,,06073008350,Schools.geojson
Schools,32.902791766716,-117.18431933129108,Altus Schools Audeo,10170 Huennekens Street,San Diego,92121-2964,,,06073008350,Schools.geojson
Schools,33.02035169359021,-117.20663629155126,R. Roger Rowe Middle,5927 La Granada,Rancho Santa Fe,92067-0809,,,06073017106,Schools.geojson
Schools,33.02035169359021,-117.20663629155126,R. Roger Rowe Elementary,5927 La Granada,Rancho Santa Fe,92067-0809,,,06073017106,Schools.geojson
Schools,33.02634393355168,-116.87890904315285,Mountain Valley Academy,1010 Ramona Street,Ramona,92065-3222,,,06073020806,Schools.geojson
Schools,33.02634393355168,-116.87890904315285,Ramona Community Montessori,1010 Ramona Street,Ramona,92065-3222,,,06073020806,Schools.geojson
Schools,33.0392361737795,-116.86350692562172,Future Bound Independent Study Secondary,720 Ninth Street,Ramona,92065-2348,,,06073020813,Schools.geojson
Schools,33.0392361737795,-116.86350692562172,Ramona Adult,720 Ninth Street,Ramona,92065-2348,,,06073020813,Schools.geojson
Schools,33.078601388359345,-116.59564260866277,Brookfield Engineering Science Technology Academy,1704 Cape Horn,Julian,92036,,,06073020904,Schools.geojson
Schools,33.078601388359345,-116.59564260866277,Julian Charter,1704 Cape Horn,Julian,92036,,,06073020904,Schools.geojson
Schools,33.078601388359345,-116.59564260866277,Julian Junior High,1704 Cape Horn Avenue,Julian,92036-0337,,,06073020904,Schools.geojson
Schools,33.078601388359345,-116.59564260866277,Julian Elementary,1704 Cape Horn Avenue,Julian,92036-0337,,,06073020904,Schools.geojson
Schools,33.16237971310694,-117.32750273872112,Carlsbad Village Academy,3557 Monroe Street,Carlsbad,92008-2785,,,06073017801,Schools.geojson
Schools,33.16237971310694,-117.32750273872112,Carlsbad High,3557 Monroe Street,Carlsbad,92008-2729,,,06073017801,Schools.geojson
Schools,33.16237971310694,-117.32750273872112,Carlsbad Seaside Academy,3557 Monroe Street,Carlsbad,92008-2785,,,06073017801,Schools.geojson
Schools,33.18004035760311,-117.15843144147445,Twin Oaks High,158 Cassou Road,San Marcos,92069-9702,,,06073020038,Schools.geojson
Schools,33.18004035760311,-117.15843144147445,Foothills High,158 Cassou Road,San Marcos,92069-9702,,,06073020038,Schools.geojson
Schools,33.18004035760311,-117.15843144147445,San Marcos Adult,158 Cassou Road,San Marcos,92069-9702,,,06073020038,Schools.geojson
Schools,33.21649035022572,-117.34931320999007,TERI- The Learning Academy,305 Airport Road,Oceanside,92058,,,06073018616,Schools.geojson
Schools,33.21649035022572,-117.34931320999007,"TERI, INC. The Country School",3225 Roymar Road,Oceanside,92058,,,06073018616,Schools.geojson
Schools,33.222658164775005,-117.21913711511363,Alta Vista High (Continuation),1575 Bonair Drive,Vista,92084-3572,,,06073019210,Schools.geojson
Schools,33.222658164775005,-117.21913711511363,Vista Visions Academy,1575 Bonair Drive,Vista,92084-3572,,,06073019210,Schools.geojson
Schools,33.230029675674395,-117.24930994145647,Guajome Learning Centers,2000 North Santa Fe Avenue,Vista,92083-1534,,,06073019303,Schools.geojson
Schools,33.230029675674395,-117.24930994145647,Guajome Park Academy Charter,2000 North Santa Fe Avenue,Vista,92083-1534,,,06073019303,Schools.geojson
Schools,33.23636927490443,-117.02340168933853,Valley Center Prep,28751-U Cole Grade Road,Valley Center,92082,,,06073019111,Schools.geojson
Schools,33.23636927490443,-117.02340168933853,Valley Center Elementary,28751 Cole Grade Road,Valley Center,92082-6575,,,06073019111,Schools.geojson
Schools,33.27408694564766,-116.64343173858062,Warner Junior/Senior High,30951 Highway 79,Warner Springs,92086,,,06073020903,Schools.geojson
Schools,33.27408694564766,-116.64343173858062,Warner Elementary,30951 Highway 79,Warner Springs,92086,,,06073020903,Schools.geojson
Schools,33.27408694564766,-116.64343173858062,San Jose Valley Continuation High,30951 Highway 79,Warner Springs,92086,,,06073020903,Schools.geojson
Schools,33.278352446449,-116.95424151862446,All Tribes Elementary Charter,"34320 Valley Center Road, Suite B",Valley Center,92082-6046,,,06073019110,Schools.geojson
Schools,33.278352446449,-116.95424151862446,All Tribes Charter,34320 Valley Center Road,Valley Center,92082-6046,,,06073019110,Schools.geojson
Schools,33.296606008391514,-117.17444901667331,Bonsall High,7350 West Lilac Road,Bonsall,92003-4316,,,06073018803,Schools.geojson
Schools,33.296606008391514,-117.17444901667331,Norman L. Sullivan Middle,7350 West Lilac Road,Bonsall,92003-5112,,,06073018803,Schools.geojson
Schools,33.37981958216317,-117.25522630682003,Maie Ellis Elementary,400 West Elder Street,Fallbrook,92028-2108,,,06073018904,Schools.geojson
Schools,33.37981958216317,-117.25522630682003,Santa Margarita Academy,400 West Elder Street,Fallbrook,92028-2108,,,06073018904,Schools.geojson
