oid_,website,address,district,name,type,phone,zip,city,data_src,update_date
44,https://library.carlsbadca.gov/our-library,1250 Carlsbad Village Dr,Carlsbad,Georgina Cole Library,Public,(442)339-2870,92008,"Carlsbad, CA",Carlsbad,7/25/2023 17:00:00
45,https://library.carlsbadca.gov/our-library,3368 Eureka Pl,Carlsbad,Library Learning Center,Public,(442)339-5500,92008,"Carlsbad, CA",Carlsbad,7/25/2023 17:00:00
46,https://www.chulavistaca.gov/departments/library,"2015 Birch Road, Suite 409",Chula Vista,Otay Ranch Branch,Public,(619) 397-5740,91915,"Chula Vista, CA",Chula Vista,7/25/2023 14:08:04
47,https://www.sdcl.org/,31505 Old River Rd.,San Diego County,24/7 Library To Go - Bonsall,Public,(858) 694-2415,92003,"Bonsall, CA",SDCL,7/25/2023 0:00:00
48,https://www.sdcl.org/,39923 Ribbonwood Road,San Diego County,24/7 Library To Go - Boulevard,Public,(858) 694-2415,91905,"Boulevard, CA",SDCL,7/25/2023 0:00:00
49,https://www.sdcl.org/,"5560 Overland Avenue, Ste 110",San Diego County,24/7 Library To Go - County Operations Center,Public,(858) 694-2415,92123,"San Diego, CA",SDCL,7/25/2023 0:00:00
50,https://www.sdcl.org/,690 Oxford Street,San Diego County,24/7 Library To Go - South Region,Public,(858) 694-2415,91911,"Chula Vista, CA",SDCL,7/25/2023 0:00:00
51,https://www.sdcl.org/,10433 Reserve Drive,San Diego County,4S Ranch Branch,Public,(858) 673-4697,92127,"San Diego, CA",SDCL,7/25/2023 0:00:00
52,https://www.sdcl.org/,1752 Alpine Blvd.,San Diego County,Alpine Branch,Public,(619) 445-4221,91901,"Alpine, CA",SDCL,7/25/2023 0:00:00
53,https://www.sdcl.org/,4375 Bonita Rd.,San Diego County,Bonita-Sunnyside Branch,Public,(619) 475-4642,91902,"Bonita, CA",SDCL,7/25/2023 0:00:00
54,https://www.sdcl.org/,2580 Country Club Road,San Diego County,Borrego Springs Branch,Public,(760) 767-5761,92004,"Borrego Springs, CA",SDCL,7/25/2023 0:00:00
55,https://www.sdcl.org/,31356 Highway 94,San Diego County,Campo-Morena Village Branch,Public,(619) 478-5945,91906,"Campo, CA",SDCL,7/25/2023 0:00:00
56,https://www.sdcl.org/,2081 Newcastle Ave.,San Diego County,Cardiff-by-the-Sea Branch,Public,(760) 753-4027,92007,"Cardiff-by-the-Sea,",SDCL,7/25/2023 0:00:00
57,https://www.sdcl.org/,9805 Campo Rd. #180,San Diego County,Casa de Oro Branch,Public,(619) 463-3236,91977,"Spring Valley, CA",SDCL,7/25/2023 0:00:00
58,https://www.sdcl.org/,105 Juanita Lane,San Diego County,Crest Branch,Public,(619) 442-7083,92021,"El Cajon, CA",SDCL,7/25/2023 0:00:00
59,https://www.sdcl.org/,"1309 Camino Del Mar, Del Mar",San Diego County,Del Mar Branch,Public,(858) 755-1666,92014,"Del Mar, CA",SDCL,7/25/2023 0:00:00
60,https://www.sdcl.org/,9545 River Dr.,San Diego County,Descanso Branch,Public,(619) 445-5279,91916,"Descanso, CA",SDCL,7/25/2023 0:00:00
61,https://www.sdcl.org/,540 Cornish Drive,San Diego County,Encinitas Branch,Public,(760) 753-7376,92024,"Encinitas, CA 92024",SDCL,7/25/2023 0:00:00
62,https://www.sdcl.org/,124 S. Mission Rd.,San Diego County,Fallbrook Branch,Public,(760) 731-4650,92028,"Fallbrook, CA",SDCL,7/25/2023 0:00:00
63,https://www.sdcl.org/,576 Garfield Ave.,San Diego County,Fletcher Hills Branch,Public,(619) 466-1132,92020,"El Cajon, CA",SDCL,7/25/2023 0:00:00
64,https://www.sdcl.org/,810 Imperial Beach Blvd.,San Diego County,Imperial Beach Branch,Public,(619) 424-6981,91932,"Imperial Beach, CA",SDCL,7/25/2023 0:00:00
65,https://www.sdcl.org/,44605 Old Hwy. 80,San Diego County,Jacumba Branch,Public,(619) 766-4608,91934,"Jacumba, CA",SDCL,7/25/2023 0:00:00
66,https://www.sdcl.org/,1850 Highway 78,San Diego County,Julian Branch,Public,(760) 765-0370,92036,"Julian, CA",SDCL,7/25/2023 0:00:00
67,https://www.sdcl.org/,8074 Allison Avenue,San Diego County,La Mesa Branch,Public,(619) 469-2151,91942,"La Mesa, CA",SDCL,7/25/2023 0:00:00
68,https://www.sdcl.org/,12428  Woodside Ave,San Diego County,Lakeside Branch,Public,(619) 443-1811,92040,"Lakeside, CA",SDCL,7/25/2023 0:00:00
69,https://www.sdcl.org/,3001 School Ln.,San Diego County,Lemon Grove Branch,Public,(619) 463-9819,91945,"Lemon Grove, CA",SDCL,7/25/2023 0:00:00
70,https://www.sdcl.org/,2725 Granger Ave.,San Diego County,Lincoln Acres Branch,Public,(619) 475-9880,91950,"National City, CA",SDCL,7/25/2023 0:00:00
71,https://www.sdcl.org/,28804 Old Hwy. 80,San Diego County,Pine Valley Branch,Public,(619) 473-8022,91962,"Pine Valley, CA",SDCL,7/25/2023 0:00:00
72,https://www.sdcl.org/,24883 Potrero Valley Rd.,San Diego County,Potrero Branch,Public,(619) 478-5978,91963,"Potrero, CA",SDCL,7/25/2023 0:00:00
73,https://www.sdcl.org/,13137 Poway Rd,San Diego County,Poway Branch,Public,(858) 513-2900,92064,"Poway, CA",SDCL,7/25/2023 0:00:00
74,https://www.sdcl.org/,1275 Main Street,San Diego County,Ramona Branch,Public,(760) 788-5270,92065,"Ramona, CA",SDCL,7/25/2023 0:00:00
75,https://www.sdcl.org/,11555 Via Rancho San Diego,San Diego County,Rancho San Diego Branch,Public,(619) 660-5370,92019,"El Cajon, CA",SDCL,7/25/2023 0:00:00
76,https://www.sdcl.org/,17040 Avenida de Acacias,San Diego County,Rancho Santa Fe Branch,Public,(858) 756-2512,92067,"Rancho Santa Fe, CA",SDCL,7/25/2023 0:00:00
77,https://www.sdcl.org/,2 Civic Center Drive,San Diego County,San Marcos Branch,Public,(760) 891-3000,92069,"San Marcos, CA",SDCL,7/25/2023 0:00:00
78,https://www.sdcl.org/,9225 Carlton Hills Blvd. #17,San Diego County,Santee Branch,Public,(619) 448-1863,92071,"Santee, CA",SDCL,7/25/2023 0:00:00
79,https://www.sdcl.org/,157 Stevens Ave.,San Diego County,Solana Beach Branch Earl Warren Middle School,Public,(858) 755-1404,92075,"Solana Beach, CA",SDCL,7/25/2023 0:00:00
80,https://www.sdcl.org/,836 Kempton St.,San Diego County,Spring Valley Branch,Public,(619) 463-3006,91977,"Spring Valley, CA",SDCL,7/25/2023 0:00:00
81,https://www.sdcl.org/,29200 Cole Grade Rd.,San Diego County,Valley Center Branch,Public,(760) 749-1305,92082,"Valley Center, CA",SDCL,7/25/2023 0:00:00
82,https://www.sdcl.org/,700 Eucalyptus Ave.,San Diego County,Vista Branch,Public, (760) 643-510,92084,"Vista, CA",SDCL,7/25/2023 0:00:00
83,https://www.sdcl.org/,201 E. Douglas,San Diego County,El Cajon Branch,Public,(619) 588-3718,92020,"El Cajon, CA",SDCL,7/25/2023 0:00:00
84,https://www.ci.oceanside.ca.us/gov/lib/,804 Pier View Way #101,Oceanside,Oceanside READS Literacy Center,Public,(760) 435-5680,92054,"Oceanside, CA",City of Oceanside website,7/25/2023 14:20:48
85,https://www.oceansidelibrary.org/about-us/hours-and-locations,2855 Cedar Rd,Oceanside,John Landes Community Center Library,Public,(760)435-5642,92056,"Oceanside, CA",City of Oceanside website,7/25/2023 9:24:45
86,https://www.oceansidelibrary.org/about-us/hours-and-locations,455 Country Club Lane,Oceanside,Country Club Lane Senior Center Mini-Library,Public,,92054,"Oceanside, CA",City of Oceanside website,7/25/2023 9:31:32
87,https://www.oceansidelibrary.org/about-us/hours-and-locations,3302 Senior Center Dr,Oceanside,El Corazon Senior Center Mini-Library,Public,,92056,"Oceanside, CA",City of Oceanside website,7/25/2023 9:31:37
88,https://www.oceansidelibrary.org/about-us/hours-and-locations,5306 North River Rd,Oceanside,Melba Bishop Recreation Center Mini-Library,,,92057,"Oceanside, CA",City of Oceanside website,7/25/2023 9:36:24
89,https://www.sdcl.org/,501 N El Camino Real,San Diego County,24/7 Library Kiosk Encinitas,Public,(858) 694-2415,92024,"Encinitas, CA",SDCL,7/25/2023 10:32:28
90,https://www.oceansidelibrary.org/about-us/hours-and-locations,709 San Diego Street,Oceanside,Joe Balderrama Recreation Center,,,92056,"Oceanside, CA",,
91,http://www.sandiego.gov/public-library/,330 Park Blvd,San Diego Public (City),San Diego Central,San Diego,(619) 236-5800,92101,"San Diego, CA",City of San Diego,9/9/2024 15:37:11
92,http://www.sandiego.gov/public-library/,12911 Pacific Place,San Diego Public (City),Pacific Highlands Ranch,San Diego,(858) 523-7052,92130,"San Diego, CA",City of San Diego,10/30/2024 8:52:30
